MotifId	Nodes	Edges	Count
6	3	2	9
12	3	2	12
14	3	3	224
36	3	2	8
38	3	3	0
46	3	4	0
78	3	4	1133
102	3	4	0
98	3	3	0
74	3	3	192
108	3	4	2
110	3	5	24
238	3	6	68
