904,0
4374,147
990,15
5064,0
4420,59
972,0
922,15
3038,0
858,48
4950,53
468,83
14812,0
4574,0
7126,0
14790,0
2190,0
6552,12
2270,0
7134,0
15326,4
28,3258
4678,0
4370,860
90,981
4958,2
2252,1
13260,0
13278,0
6616,1
13146,2
2506,0
13142,12
6558,0
4558,0
6862,0
14798,0
6550,0
4556,0
4812,0
15258,3
862,118
286,185
76,981
78,182
92,100
94,197
282,2063
346,66
348,281
350,166
394,15
406,105
410,111
412,27
414,14
460,75
462,0
478,8
2184,817
332,781
334,47
404,148
470,67
344,72
408,97
472,5
474,6
476,14
926,8
396,59
906,28
910,0
2186,84
2204,2
2206,0
2254,2
6356,0
2458,6
2526,3
2510,0
4698,2
2524,0
328,119
330,0
4438,119
4444,27
4446,13
4430,3
4550,0
4422,14
4424,34
4700,0
4702,1
4954,7
5014,3
5018,7
5022,2
5086,6
4998,0
4382,3
6554,23
7128,0
15310,1
6622,3
4548,1
5070,0
6606,0
206,91
6854,0
398,0
4428,25
4764,0
4766,0
4682,0
4434,60
4436,185
4564,8
4566,6
4442,8
5078,8
5082,0
5084,1
392,254
4426,0
2462,0
390,3
4742,0
6874,0
4814,0
6614,1
6618,0
6620,4
6358,0
222,3
13150,8
2202,2
6598,0
5066,0
6342,0
5012,1
30,1650
6878,0
4686,0
74,1042
4946,25
5058,0
5010,11
5074,2
5004,2
4440,19
6348,1
6350,0
6366,0
4748,0
4750,0
5076,2
4418,0
4994,0
4830,0
6364,0
4740,0
5062,0
5016,1
5080,0
5068,0
7130,0
4692,2
6604,5
5006,0
31710,0
204,141
14814,0
454,0
6602,0
6858,0
4694,5
13148,0
5020,0
14678,0
4562,0
15262,0
458,0
908,0
456,4
5002,0
6876,0
14810,0
4952,0
14686,0
13262,0
856,0
6870,0
280,2708
974,40
4546,0
924,0
4758,0
14,2805
4572,3
